title,lyrics,tags,instrumental,model
,"[Intro]

[Verse]
Blessed is the man who walks not in the counsel of the wicked,
    nor stands in the way of sinners,
nor sits in the seat of scoffers,
    but his delight is in the law of the Lord,

[pre-chorus]
and on his law he meditates day and night,
    He is like a tree planted by streams of water that yields its fruit in its season,
and its leaf does not wither,
    In all that he does, he prospers,

[Chorus]
Therefore the wicked will not stand in the judgment,
    nor sinners in the congregation of the righteous,
Therefore the wicked will not stand in the judgment,
    The Way of the Righteous and the Wicked.

[Verse]
and on his law he meditates day and night,
    He is like a tree planted by streams of water that yields its fruit in its season,
and its leaf does not wither,
    In all that he does, he prospers,

[pre-chorus]
and on his law he meditates day and night,
    He is like a tree planted by streams of water that yields its fruit in its season,
and its leaf does not wither,
    In all that he does, he prospers,

[Chorus]
Therefore the wicked will not stand in the judgment,
    nor sinners in the congregation of the righteous,
Therefore the wicked will not stand in the judgment,
    The Way of the Righteous and the Wicked.

[Bridge | Stripped Back | Intimate]
The wicked are not so,
    but are like chaff that the wind drives away,
Therefore the wicked will not stand in the judgment,
    nor sinners in the congregation of the righteous,

[Breakdown | Building | Full Band]
for the Lord knows the way of the righteous,
    but the way of the wicked will perish,
The wicked are not so,
    but are like chaff that the wind drives away,
",,false,chirp-fenix
,"[Intro]

[Verse]
Why do the nations rage and the peoples plot in vain,
    The kings of the earth set themselves,
and the rulers take counsel together,
    against the Lord and against his Anointed,

[pre-chorus]
I will tell of the decree : The Lord said to me,
    You are my Son,
today I have begotten you,
    Ask of me, and I will make the nations your heritage,

[Chorus]
lest he be angry,
    and you perish in the way,
lest he be angry,
    The Reign of the Lord ’s Anointed.

[Verse]
Then he will speak to them in his wrath,
    and terrify them in his fury,
saying,
    As for me, I have set my King on Zion, my holy hill,

[pre-chorus]
I will tell of the decree : The Lord said to me,
    You are my Son,
today I have begotten you,
    Ask of me, and I will make the nations your heritage,

[Chorus]
lest he be angry,
    and you perish in the way,
lest he be angry,
    The Reign of the Lord ’s Anointed.

[Bridge | Stripped Back | Intimate]
and the ends of the earth your possession,
    You shall break them with a rod of iron and dash them in pieces like a potter’s vessel,
Now therefore, O kings, be wise,
    be warned, O rulers of the earth,

[Breakdown | Building | Full Band]
Serve the Lord with fear, and rejoice with trembling,
    Kiss the Son,
lest he be angry,
    and you perish in the way,
",,false,chirp-fenix
,"[Intro]

[Verse]
O Lord, how many are my foes! Many are rising against me,
    many are saying of my soul,
there is no salvation for him in God,
    But you, O Lord,

[pre-chorus]
my glory, and the lifter of my head,
    I cried aloud to the Lord,
and he answered me from his holy hill,
    I lay down and slept,

[Chorus]
O my God! For you strike all my enemies on the cheek,
    you break the teeth of the wicked,
O my God! For you strike all my enemies on the cheek,
    Save Me, O My God.

[Verse]
my glory, and the lifter of my head,
    I cried aloud to the Lord,
and he answered me from his holy hill,
    I lay down and slept,

[pre-chorus]
my glory, and the lifter of my head,
    I cried aloud to the Lord,
and he answered me from his holy hill,
    I lay down and slept,

[Chorus]
O my God! For you strike all my enemies on the cheek,
    you break the teeth of the wicked,
O my God! For you strike all my enemies on the cheek,
    Save Me, O My God.

[Bridge | Stripped Back | Intimate]
I will not be afraid of many thousands of people who have set themselves against me all around,
    Arise, O Lord! Save me,
O my God! For you strike all my enemies on the cheek,
    you break the teeth of the wicked,

[Breakdown | Building | Full Band]
Salvation belongs to the Lord,
    your blessing be on your people,
I will not be afraid of many thousands of people who have set themselves against me all around,
    Arise, O Lord! Save me,
",,false,chirp-fenix
,"[Intro]

[Verse]
Answer me when I call,
    O God of my righteousness! You have given me relief when I was in distress,
Be gracious to me and hear my prayer,
    O men, how long shall my honor be turned into shame? How long will you love vain words and seek after lies,

[pre-chorus]
the Lord hears when I call to him,
    Be angry, and do not sin,
ponder in your own hearts on your beds, and be silent,
    Offer right sacrifices, and put your trust in the Lord,

[Chorus]
O Lord,
    You have put more joy in my heart than they have when their grain and wine abound,
O Lord,
    Answer Me When I Call.

[Verse]
the Lord hears when I call to him,
    Be angry, and do not sin,
ponder in your own hearts on your beds, and be silent,
    Offer right sacrifices, and put your trust in the Lord,

[pre-chorus]
the Lord hears when I call to him,
    Be angry, and do not sin,
ponder in your own hearts on your beds, and be silent,
    Offer right sacrifices, and put your trust in the Lord,

[Chorus]
O Lord,
    You have put more joy in my heart than they have when their grain and wine abound,
O Lord,
    Answer Me When I Call.

[Bridge | Stripped Back | Intimate]
Who will show us some good? Lift up the light of your face upon us,
    O Lord,
You have put more joy in my heart than they have when their grain and wine abound,
    In peace I will both lie down and sleep,

[Breakdown | Building | Full Band]
for you alone, O Lord, make me dwell in safety,
    Who will show us some good? Lift up the light of your face upon us,
O Lord,
    You have put more joy in my heart than they have when their grain and wine abound,
",,false,chirp-fenix
,"[Intro]

[Verse]
Give ear to my words, O Lord,
    consider my groaning,
Give attention to the sound of my cry,
    my King and my God,

[pre-chorus]
I will bow down toward your holy temple in the fear of you,
    Lead me, O Lord,
in your righteousness because of my enemies,
    make your way straight before me,

[Chorus]
and spread your protection over them,
    that those who love your name may exult in you,
and spread your protection over them,
    Lead Me in Your Righteousness.

[Verse]
You destroy those who speak lies,
    the Lord abhors the bloodthirsty and deceitful man,
But I, through the abundance of your steadfast love,
    will enter your house,

[pre-chorus]
I will bow down toward your holy temple in the fear of you,
    Lead me, O Lord,
in your righteousness because of my enemies,
    make your way straight before me,

[Chorus]
and spread your protection over them,
    that those who love your name may exult in you,
and spread your protection over them,
    Lead Me in Your Righteousness.

[Bridge | Stripped Back | Intimate]
they flatter with their tongue,
    Make them bear their guilt, O God,
let them fall by their own counsels,
    because of the abundance of their transgressions cast them out,

[Breakdown | Building | Full Band]
for they have rebelled against you,
    But let all who take refuge in you rejoice,
let them ever sing for joy,
    and spread your protection over them,
",,false,chirp-fenix
,"[Intro]

[Verse]
O Lord, rebuke me not in your anger,
    nor discipline me in your wrath,
Be gracious to me, O Lord, for I am languishing,
    heal me, O Lord, for my bones are troubled,

[pre-chorus]
save me for the sake of your steadfast love,
    For in death there is no remembrance of you,
in Sheol who will give you praise,
    I am weary with my moaning,

[Chorus]
The Lord has heard my plea,
    the Lord accepts my prayer,
The Lord has heard my plea,
    O Lord, Deliver My Life.

[Verse]
save me for the sake of your steadfast love,
    For in death there is no remembrance of you,
in Sheol who will give you praise,
    I am weary with my moaning,

[pre-chorus]
save me for the sake of your steadfast love,
    For in death there is no remembrance of you,
in Sheol who will give you praise,
    I am weary with my moaning,

[Chorus]
The Lord has heard my plea,
    the Lord accepts my prayer,
The Lord has heard my plea,
    O Lord, Deliver My Life.

[Bridge | Stripped Back | Intimate]
it grows weak because of all my foes,
    Depart from me,
all you workers of evil,
    for the Lord has heard the sound of my weeping,

[Breakdown | Building | Full Band]
The Lord has heard my plea,
    the Lord accepts my prayer,
All my enemies shall be ashamed and greatly troubled,
    they shall turn back and be put to shame in a moment,
",,false,chirp-fenix
,"[Intro]

[Verse]
O Lord my God, in you do I take refuge,
    save me from all my pursuers and deliver me,
lest like a lion they tear my soul apart,
    rending it in pieces,

[pre-chorus]
The Lord judges the peoples,
    judge me, O Lord,
according to my righteousness and according to the integrity that is in me,
    Oh, let the evil of the wicked come to an end,

[Chorus]
and on his own skull his violence descends,
    I will give to the Lord the thanks due to his righteousness,
and on his own skull his violence descends,
    In You Do I Take Refuge A Shiggaion of David, which he sang to the Lord concerning the words of Cush, a Benjaminite.

[Verse]
awake for me,
    you have appointed a judgment,
Let the assembly of the peoples be gathered about you,
    over it return on high,

[pre-chorus]
The Lord judges the peoples,
    judge me, O Lord,
according to my righteousness and according to the integrity that is in me,
    Oh, let the evil of the wicked come to an end,

[Chorus]
and on his own skull his violence descends,
    I will give to the Lord the thanks due to his righteousness,
and on his own skull his violence descends,
    In You Do I Take Refuge A Shiggaion of David, which he sang to the Lord concerning the words of Cush, a Benjaminite.

[Bridge | Stripped Back | Intimate]
If a man does not repent, God will whet his sword,
    he has bent and readied his bow,
he has prepared for him his deadly weapons,
    making his arrows fiery shafts,

[Breakdown | Building | Full Band]
Behold, the wicked man conceives evil and is pregnant with mischief and gives birth to lies,
    He makes a pit,
digging it out,
    and falls into the hole that he has made,
",,false,chirp-fenix
,"[Intro]

[Verse]
O Lord, our Lord,
    how majestic is your name in all the earth! You have set your glory above the heavens,
Out of the mouth of babies and infants,
    you have established strength because of your foes,

[pre-chorus]
the work of your fingers,
    the moon and the stars,
which you have set in place,
    what is man that you are mindful of him,

[Chorus]
and the fish of the sea,
    whatever passes along the paths of the seas,
and the fish of the sea,
    How Majestic Is Your Name.

[Verse]
the work of your fingers,
    the moon and the stars,
which you have set in place,
    what is man that you are mindful of him,

[pre-chorus]
the work of your fingers,
    the moon and the stars,
which you have set in place,
    what is man that you are mindful of him,

[Chorus]
and the fish of the sea,
    whatever passes along the paths of the seas,
and the fish of the sea,
    How Majestic Is Your Name.

[Bridge | Stripped Back | Intimate]
You have given him dominion over the works of your hands,
    you have put all things under his feet,
all sheep and oxen, and also the beasts of the field,
    the birds of the heavens,

[Breakdown | Building | Full Band]
and the fish of the sea,
    whatever passes along the paths of the seas,
O Lord, our Lord,
    how majestic is your name in all the earth,
",,false,chirp-fenix
,"[Intro]

[Verse]
I will give thanks to the Lord with my whole heart,
    I will recount all of your wonderful deeds,
I will be glad and exult in you,
    I will sing praise to your name, O Most High,

[pre-chorus]
a stronghold in times of trouble,
    And those who know your name put their trust in you,
for you, O Lord,
    have not forsaken those who seek you,

[Chorus]
Arise, O Lord! Let not man prevail,
    let the nations be judged before you,
Arise, O Lord! Let not man prevail,
    I Will Recount Your Wonderful Deeds.

[Verse]
he has established his throne for justice,
    and he judges the world with righteousness,
he judges the peoples with uprightness,
    The Lord is a stronghold for the oppressed,

[pre-chorus]
a stronghold in times of trouble,
    And those who know your name put their trust in you,
for you, O Lord,
    have not forsaken those who seek you,

[Chorus]
Arise, O Lord! Let not man prevail,
    let the nations be judged before you,
Arise, O Lord! Let not man prevail,
    I Will Recount Your Wonderful Deeds.

[Bridge | Stripped Back | Intimate]
that I may recount all your praises,
    that in the gates of the daughter of Zion I may rejoice in your salvation,
The nations have sunk in the pit that they made,
    in the net that they hid,

[Breakdown | Building | Full Band]
their own foot has been caught,
    The Lord has made himself known,
he has executed judgment,
    the wicked are snared in the work of their own hands,
",,false,chirp-fenix
,"[Intro]

[Verse]
Make a joyful noise to the Lord, all the earth,
    Serve the Lord with gladness! Come into his presence with singing,
Know that the Lord,
    he is God! It is he who made us,

[pre-chorus]
and we are his,
    we are his people, and the sheep of his pasture,
Enter his gates with thanksgiving,
    and his courts with praise! Give thanks to him,

[Chorus]
bless his name,
    For the Lord is good,
bless his name,
    His Steadfast Love Endures Forever A Psalm for giving thanks.

[Verse]
and we are his,
    we are his people, and the sheep of his pasture,
Enter his gates with thanksgiving,
    and his courts with praise! Give thanks to him,

[pre-chorus]
and we are his,
    we are his people, and the sheep of his pasture,
Enter his gates with thanksgiving,
    and his courts with praise! Give thanks to him,

[Chorus]
bless his name,
    For the Lord is good,
bless his name,
    His Steadfast Love Endures Forever A Psalm for giving thanks.

[Bridge | Stripped Back | Intimate]
bless his name,
    For the Lord is good,
his steadfast love endures forever,
    and his faithfulness to all generations,

[Breakdown | Building | Full Band]
bless his name,
    For the Lord is good,
his steadfast love endures forever,
    and his faithfulness to all generations,
",,false,chirp-fenix
